time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,mvpa,vpa,met
09:00:00,2016-09-01,112,720,09:00:00,36,3,35,2016-09-01 09:00:00,a001,0,0,0
09:15:00,2016-09-01,83,53,09:15:00,37,3,35,2016-09-01 09:15:00,a001,0,0,0
09:45:00,2016-09-01,79,65,09:45:00,39,3,35,2016-09-01 09:45:00,a001,0,0,0
10:00:00,2016-09-01,81,99,10:00:00,40,3,35,2016-09-01 10:00:00,a001,0,0,0
13:00:00,2016-09-01,64,15,13:00:00,52,3,35,2016-09-01 13:00:00,a001,0,0,0
13:15:00,2016-09-01,81,420,13:15:00,53,3,35,2016-09-01 13:15:00,a001,0,0,0
14:00:00,2016-09-01,73,143,14:00:00,56,3,35,2016-09-01 14:00:00,a001,0,0,0
14:15:00,2016-09-01,72,62,14:15:00,57,3,35,2016-09-01 14:15:00,a001,0,0,0
14:30:00,2016-09-01,78,387,14:30:00,58,3,35,2016-09-01 14:30:00,a001,0,0,0
14:45:00,2016-09-01,87,688,14:45:00,59,3,35,2016-09-01 14:45:00,a001,0,0,0
15:00:00,2016-09-01,74,35,15:00:00,60,3,35,2016-09-01 15:00:00,a001,0,0,0
15:30:00,2016-09-01,96,771,15:30:00,62,3,35,2016-09-01 15:30:00,a001,0,0,0
15:45:00,2016-09-01,82,151,15:45:00,63,3,35,2016-09-01 15:45:00,a001,0,0,0
16:15:00,2016-09-01,75,11,16:15:00,65,3,35,2016-09-01 16:15:00,a001,0,0,0
16:45:00,2016-09-01,74,7,16:45:00,67,3,35,2016-09-01 16:45:00,a001,0,0,0
17:15:00,2016-09-01,80,73,17:15:00,69,3,35,2016-09-01 17:15:00,a001,0,0,0
17:30:00,2016-09-01,93,251,17:30:00,70,3,35,2016-09-01 17:30:00,a001,0,0,0
17:45:00,2016-09-01,99,354,17:45:00,71,3,35,2016-09-01 17:45:00,a001,0,0,0
18:00:00,2016-09-01,91,365,18:00:00,72,3,35,2016-09-01 18:00:00,a001,0,0,0
18:15:00,2016-09-01,94,1180,18:15:00,73,3,35,2016-09-01 18:15:00,a001,0,0,0
18:30:00,2016-09-01,101,962,18:30:00,74,3,35,2016-09-01 18:30:00,a001,0,0,0
18:45:00,2016-09-01,91,164,18:45:00,75,3,35,2016-09-01 18:45:00,a001,0,0,0
20:45:00,2016-09-01,81,238,20:45:00,83,3,35,2016-09-01 20:45:00,a001,0,0,0
21:00:00,2016-09-01,106,1041,21:00:00,84,3,35,2016-09-01 21:00:00,a001,0,0,0
21:15:00,2016-09-01,86,16,21:15:00,85,3,35,2016-09-01 21:15:00,a001,0,0,0
21:30:00,2016-09-01,89,663,21:30:00,86,3,35,2016-09-01 21:30:00,a001,0,0,0
22:15:00,2016-09-01,76,145,22:15:00,89,3,35,2016-09-01 22:15:00,a001,0,0,0
00:15:00,2016-09-02,104,198,00:15:00,1,4,35,2016-09-02 00:15:00,a001,0,0,0
00:30:00,2016-09-02,92,222,00:30:00,2,4,35,2016-09-02 00:30:00,a001,0,0,0
00:45:00,2016-09-02,72,100,00:45:00,3,4,35,2016-09-02 00:45:00,a001,0,0,0
01:30:00,2016-09-02,55,4,01:30:00,6,4,35,2016-09-02 01:30:00,a001,0,0,0
02:00:00,2016-09-02,59,11,02:00:00,8,4,35,2016-09-02 02:00:00,a001,0,0,0
03:00:00,2016-09-02,56,4,03:00:00,12,4,35,2016-09-02 03:00:00,a001,0,0,0
03:15:00,2016-09-02,55,4,03:15:00,13,4,35,2016-09-02 03:15:00,a001,0,0,0
03:45:00,2016-09-02,58,30,03:45:00,15,4,35,2016-09-02 03:45:00,a001,0,0,0
04:45:00,2016-09-02,58,18,04:45:00,19,4,35,2016-09-02 04:45:00,a001,0,0,0
05:30:00,2016-09-02,57,7,05:30:00,22,4,35,2016-09-02 05:30:00,a001,0,0,0
09:15:00,2016-09-02,60,25,09:15:00,37,4,35,2016-09-02 09:15:00,a001,0,0,0
09:30:00,2016-09-02,93,361,09:30:00,38,4,35,2016-09-02 09:30:00,a001,0,0,0
09:45:00,2016-09-02,87,54,09:45:00,39,4,35,2016-09-02 09:45:00,a001,0,0,0
10:00:00,2016-09-02,76,6,10:00:00,40,4,35,2016-09-02 10:00:00,a001,0,0,0
10:45:00,2016-09-02,81,8,10:45:00,43,4,35,2016-09-02 10:45:00,a001,0,0,0
12:00:00,2016-09-02,75,32,12:00:00,48,4,35,2016-09-02 12:00:00,a001,0,0,0
12:15:00,2016-09-02,79,159,12:15:00,49,4,35,2016-09-02 12:15:00,a001,0,0,0
12:30:00,2016-09-02,91,657,12:30:00,50,4,35,2016-09-02 12:30:00,a001,0,0,0
13:00:00,2016-09-02,84,6,13:00:00,52,4,35,2016-09-02 13:00:00,a001,0,0,0
13:15:00,2016-09-02,84,26,13:15:00,53,4,35,2016-09-02 13:15:00,a001,0,0,0
13:30:00,2016-09-02,76,4,13:30:00,54,4,35,2016-09-02 13:30:00,a001,0,0,0
14:15:00,2016-09-02,89,313,14:15:00,57,4,35,2016-09-02 14:15:00,a001,0,0,0
14:30:00,2016-09-02,103,511,14:30:00,58,4,35,2016-09-02 14:30:00,a001,0,0,0
14:45:00,2016-09-02,131,708,14:45:00,59,4,35,2016-09-02 14:45:00,a001,1,0,60
15:00:00,2016-09-02,108,11,15:00:00,60,4,35,2016-09-02 15:00:00,a001,0,0,0
16:00:00,2016-09-02,92,507,16:00:00,64,4,35,2016-09-02 16:00:00,a001,0,0,0
16:15:00,2016-09-02,112,1127,16:15:00,65,4,35,2016-09-02 16:15:00,a001,0,0,0
16:30:00,2016-09-02,95,234,16:30:00,66,4,35,2016-09-02 16:30:00,a001,0,0,0
17:15:00,2016-09-02,81,65,17:15:00,69,4,35,2016-09-02 17:15:00,a001,0,0,0
17:30:00,2016-09-02,84,188,17:30:00,70,4,35,2016-09-02 17:30:00,a001,0,0,0
17:45:00,2016-09-02,82,285,17:45:00,71,4,35,2016-09-02 17:45:00,a001,0,0,0
18:00:00,2016-09-02,77,16,18:00:00,72,4,35,2016-09-02 18:00:00,a001,0,0,0
18:15:00,2016-09-02,91,456,18:15:00,73,4,35,2016-09-02 18:15:00,a001,0,0,0
18:30:00,2016-09-02,116,571,18:30:00,74,4,35,2016-09-02 18:30:00,a001,0,0,0
18:45:00,2016-09-02,117,1486,18:45:00,75,4,35,2016-09-02 18:45:00,a001,0,0,0
19:00:00,2016-09-02,115,298,19:00:00,76,4,35,2016-09-02 19:00:00,a001,0,0,0
19:15:00,2016-09-02,105,285,19:15:00,77,4,35,2016-09-02 19:15:00,a001,0,0,0
19:30:00,2016-09-02,102,165,19:30:00,78,4,35,2016-09-02 19:30:00,a001,0,0,0
19:45:00,2016-09-02,83,120,19:45:00,79,4,35,2016-09-02 19:45:00,a001,0,0,0
20:00:00,2016-09-02,108,168,20:00:00,80,4,35,2016-09-02 20:00:00,a001,0,0,0
20:15:00,2016-09-02,114,332,20:15:00,81,4,35,2016-09-02 20:15:00,a001,0,0,0
20:30:00,2016-09-02,103,382,20:30:00,82,4,35,2016-09-02 20:30:00,a001,0,0,0
20:45:00,2016-09-02,116,202,20:45:00,83,4,35,2016-09-02 20:45:00,a001,0,0,0
21:00:00,2016-09-02,95,148,21:00:00,84,4,35,2016-09-02 21:00:00,a001,0,0,0
21:15:00,2016-09-02,95,670,21:15:00,85,4,35,2016-09-02 21:15:00,a001,0,0,0
21:30:00,2016-09-02,120,1116,21:30:00,86,4,35,2016-09-02 21:30:00,a001,0,0,0
22:45:00,2016-09-02,79,13,22:45:00,91,4,35,2016-09-02 22:45:00,a001,0,0,0
00:30:00,2016-09-03,88,282,00:30:00,2,5,35,2016-09-03 00:30:00,a001,0,0,0
00:45:00,2016-09-03,90,448,00:45:00,3,5,35,2016-09-03 00:45:00,a001,0,0,0
01:00:00,2016-09-03,75,15,01:00:00,4,5,35,2016-09-03 01:00:00,a001,0,0,0
01:15:00,2016-09-03,61,6,01:15:00,5,5,35,2016-09-03 01:15:00,a001,0,0,0
02:00:00,2016-09-03,61,38,02:00:00,8,5,35,2016-09-03 02:00:00,a001,0,0,0
02:30:00,2016-09-03,58,9,02:30:00,10,5,35,2016-09-03 02:30:00,a001,0,0,0
03:15:00,2016-09-03,58,7,03:15:00,13,5,35,2016-09-03 03:15:00,a001,0,0,0
05:30:00,2016-09-03,55,11,05:30:00,22,5,35,2016-09-03 05:30:00,a001,0,0,0
10:15:00,2016-09-03,74,84,10:15:00,41,5,35,2016-09-03 10:15:00,a001,0,0,0
10:30:00,2016-09-03,86,321,10:30:00,42,5,35,2016-09-03 10:30:00,a001,0,0,0
10:45:00,2016-09-03,79,46,10:45:00,43,5,35,2016-09-03 10:45:00,a001,0,0,0
11:00:00,2016-09-03,104,523,11:00:00,44,5,35,2016-09-03 11:00:00,a001,0,0,0
