,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong
91,22:45:00,2016-08-29,111,0,22:45:00,91,0,35,2016-08-29 22:45:00,a001,True,0,0
92,23:00:00,2016-08-29,0,0,23:00:00,92,0,35,2016-08-29 23:00:00,a001,False,0,0
93,23:15:00,2016-08-29,0,0,23:15:00,93,0,35,2016-08-29 23:15:00,a001,False,0,0
94,23:30:00,2016-08-29,0,0,23:30:00,94,0,35,2016-08-29 23:30:00,a001,False,0,0
95,23:45:00,2016-08-29,0,0,23:45:00,95,0,35,2016-08-29 23:45:00,a001,False,0,0
96,00:00:00,2016-08-30,88,25,00:00:00,0,1,35,2016-08-30 00:00:00,a001,False,0,0
97,00:15:00,2016-08-30,77,94,00:15:00,1,1,35,2016-08-30 00:15:00,a001,False,0,0
98,00:30:00,2016-08-30,72,63,00:30:00,2,1,35,2016-08-30 00:30:00,a001,False,0,0
99,00:45:00,2016-08-30,70,23,00:45:00,3,1,35,2016-08-30 00:45:00,a001,False,0,0
100,01:00:00,2016-08-30,72,11,01:00:00,4,1,35,2016-08-30 01:00:00,a001,False,0,0
101,01:15:00,2016-08-30,70,43,01:15:00,5,1,35,2016-08-30 01:15:00,a001,False,0,0
102,01:30:00,2016-08-30,63,0,01:30:00,6,1,35,2016-08-30 01:30:00,a001,False,0,0
103,01:45:00,2016-08-30,60,15,01:45:00,7,1,35,2016-08-30 01:45:00,a001,False,0,0
104,02:00:00,2016-08-30,55,0,02:00:00,8,1,35,2016-08-30 02:00:00,a001,False,0,0
105,02:15:00,2016-08-30,56,7,02:15:00,9,1,35,2016-08-30 02:15:00,a001,False,0,0
106,02:30:00,2016-08-30,55,0,02:30:00,10,1,35,2016-08-30 02:30:00,a001,False,0,0
107,02:45:00,2016-08-30,57,0,02:45:00,11,1,35,2016-08-30 02:45:00,a001,False,0,0
108,03:00:00,2016-08-30,59,0,03:00:00,12,1,35,2016-08-30 03:00:00,a001,False,0,0
109,03:15:00,2016-08-30,56,0,03:15:00,13,1,35,2016-08-30 03:15:00,a001,False,0,0
110,03:30:00,2016-08-30,53,0,03:30:00,14,1,35,2016-08-30 03:30:00,a001,False,0,0
111,03:45:00,2016-08-30,50,0,03:45:00,15,1,35,2016-08-30 03:45:00,a001,False,0,0
112,04:00:00,2016-08-30,52,0,04:00:00,16,1,35,2016-08-30 04:00:00,a001,False,0,0
113,04:15:00,2016-08-30,51,0,04:15:00,17,1,35,2016-08-30 04:15:00,a001,False,0,0
114,04:30:00,2016-08-30,52,0,04:30:00,18,1,35,2016-08-30 04:30:00,a001,False,0,0
115,04:45:00,2016-08-30,56,0,04:45:00,19,1,35,2016-08-30 04:45:00,a001,False,0,0
116,05:00:00,2016-08-30,56,0,05:00:00,20,1,35,2016-08-30 05:00:00,a001,False,0,0
117,05:15:00,2016-08-30,51,0,05:15:00,21,1,35,2016-08-30 05:15:00,a001,False,0,0
118,05:30:00,2016-08-30,51,0,05:30:00,22,1,35,2016-08-30 05:30:00,a001,False,0,0
119,05:45:00,2016-08-30,50,0,05:45:00,23,1,35,2016-08-30 05:45:00,a001,False,0,0
120,06:00:00,2016-08-30,50,0,06:00:00,24,1,35,2016-08-30 06:00:00,a001,False,0,0
121,06:15:00,2016-08-30,51,0,06:15:00,25,1,35,2016-08-30 06:15:00,a001,False,0,0
122,06:30:00,2016-08-30,56,0,06:30:00,26,1,35,2016-08-30 06:30:00,a001,False,0,0
123,06:45:00,2016-08-30,56,0,06:45:00,27,1,35,2016-08-30 06:45:00,a001,False,0,0
124,07:00:00,2016-08-30,57,0,07:00:00,28,1,35,2016-08-30 07:00:00,a001,False,0,0
125,07:15:00,2016-08-30,56,7,07:15:00,29,1,35,2016-08-30 07:15:00,a001,False,0,0
126,07:30:00,2016-08-30,53,0,07:30:00,30,1,35,2016-08-30 07:30:00,a001,False,0,0
127,07:45:00,2016-08-30,60,0,07:45:00,31,1,35,2016-08-30 07:45:00,a001,False,0,0
128,08:00:00,2016-08-30,56,0,08:00:00,32,1,35,2016-08-30 08:00:00,a001,False,0,0
129,08:15:00,2016-08-30,56,0,08:15:00,33,1,35,2016-08-30 08:15:00,a001,False,0,0
130,08:30:00,2016-08-30,65,0,08:30:00,34,1,35,2016-08-30 08:30:00,a001,False,0,0
131,08:45:00,2016-08-30,66,0,08:45:00,35,1,35,2016-08-30 08:45:00,a001,False,0,0
132,09:00:00,2016-08-30,86,335,09:00:00,36,1,35,2016-08-30 09:00:00,a001,False,0,0
133,09:15:00,2016-08-30,89,206,09:15:00,37,1,35,2016-08-30 09:15:00,a001,False,0,0
134,09:30:00,2016-08-30,108,390,09:30:00,38,1,35,2016-08-30 09:30:00,a001,False,0,0
135,09:45:00,2016-08-30,106,375,09:45:00,39,1,35,2016-08-30 09:45:00,a001,False,0,0
136,10:00:00,2016-08-30,100,480,10:00:00,40,1,35,2016-08-30 10:00:00,a001,False,0,0
137,10:15:00,2016-08-30,91,305,10:15:00,41,1,35,2016-08-30 10:15:00,a001,False,0,0
138,10:30:00,2016-08-30,94,115,10:30:00,42,1,35,2016-08-30 10:30:00,a001,False,0,0
139,10:45:00,2016-08-30,82,7,10:45:00,43,1,35,2016-08-30 10:45:00,a001,False,0,0
140,11:00:00,2016-08-30,79,13,11:00:00,44,1,35,2016-08-30 11:00:00,a001,False,0,0
141,11:15:00,2016-08-30,78,0,11:15:00,45,1,35,2016-08-30 11:15:00,a001,True,0,0
