,time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id,sed_check,sed_prolong_start_time,sed_prolong,1,2,3,4,5,6,7
774,01:30:00,2016-11-15,55,4,01:30:00,6,1,46,2016-11-15 01:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,01:45:00,2016-11-15,57,0,01:45:00,7,1,46,2016-11-15 01:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,02:00:00,2016-11-15,58,0,02:00:00,8,1,46,2016-11-15 02:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,02:15:00,2016-11-15,55,0,02:15:00,9,1,46,2016-11-15 02:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
778,02:30:00,2016-11-15,54,0,02:30:00,10,1,46,2016-11-15 02:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
779,02:45:00,2016-11-15,55,0,02:45:00,11,1,46,2016-11-15 02:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
780,03:00:00,2016-11-15,54,0,03:00:00,12,1,46,2016-11-15 03:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
781,03:15:00,2016-11-15,56,0,03:15:00,13,1,46,2016-11-15 03:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
782,03:30:00,2016-11-15,53,0,03:30:00,14,1,46,2016-11-15 03:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
783,03:45:00,2016-11-15,53,0,03:45:00,15,1,46,2016-11-15 03:45:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
784,04:00:00,2016-11-15,52,0,04:00:00,16,1,46,2016-11-15 04:00:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
785,04:15:00,2016-11-15,54,4,04:15:00,17,1,46,2016-11-15 04:15:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
786,04:30:00,2016-11-15,55,0,04:30:00,18,1,46,2016-11-15 04:30:00,a001,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
