time_of_day,date,heart,step,time,time_count,day_of_week,week,date_time,user_id
23:30:00,2016-11-08,0,0,23:30:00,94,1,45,2016-11-08 23:30:00,a001
23:45:00,2016-11-08,85,24,23:45:00,95,1,45,2016-11-08 23:45:00,a001
00:00:00,2016-11-09,94,182,00:00:00,0,2,45,2016-11-09 00:00:00,a001
00:15:00,2016-11-09,91,174,00:15:00,1,2,45,2016-11-09 00:15:00,a001
00:30:00,2016-11-09,78,9,00:30:00,2,2,45,2016-11-09 00:30:00,a001
00:45:00,2016-11-09,87,135,00:45:00,3,2,45,2016-11-09 00:45:00,a001
01:00:00,2016-11-09,77,59,01:00:00,4,2,45,2016-11-09 01:00:00,a001
01:15:00,2016-11-09,68,6,01:15:00,5,2,45,2016-11-09 01:15:00,a001
01:30:00,2016-11-09,61,0,01:30:00,6,2,45,2016-11-09 01:30:00,a001
01:45:00,2016-11-09,58,0,01:45:00,7,2,45,2016-11-09 01:45:00,a001
02:00:00,2016-11-09,57,0,02:00:00,8,2,45,2016-11-09 02:00:00,a001
02:15:00,2016-11-09,59,0,02:15:00,9,2,45,2016-11-09 02:15:00,a001
02:30:00,2016-11-09,58,0,02:30:00,10,2,45,2016-11-09 02:30:00,a001
02:45:00,2016-11-09,56,0,02:45:00,11,2,45,2016-11-09 02:45:00,a001
03:00:00,2016-11-09,54,0,03:00:00,12,2,45,2016-11-09 03:00:00,a001
03:15:00,2016-11-09,57,4,03:15:00,13,2,45,2016-11-09 03:15:00,a001
03:30:00,2016-11-09,56,0,03:30:00,14,2,45,2016-11-09 03:30:00,a001
03:45:00,2016-11-09,54,0,03:45:00,15,2,45,2016-11-09 03:45:00,a001
04:00:00,2016-11-09,54,0,04:00:00,16,2,45,2016-11-09 04:00:00,a001
04:15:00,2016-11-09,53,0,04:15:00,17,2,45,2016-11-09 04:15:00,a001
04:30:00,2016-11-09,53,0,04:30:00,18,2,45,2016-11-09 04:30:00,a001
04:45:00,2016-11-09,57,0,04:45:00,19,2,45,2016-11-09 04:45:00,a001
05:00:00,2016-11-09,59,0,05:00:00,20,2,45,2016-11-09 05:00:00,a001
05:15:00,2016-11-09,58,0,05:15:00,21,2,45,2016-11-09 05:15:00,a001
05:30:00,2016-11-09,54,0,05:30:00,22,2,45,2016-11-09 05:30:00,a001
05:45:00,2016-11-09,51,0,05:45:00,23,2,45,2016-11-09 05:45:00,a001
06:00:00,2016-11-09,52,0,06:00:00,24,2,45,2016-11-09 06:00:00,a001
06:15:00,2016-11-09,53,0,06:15:00,25,2,45,2016-11-09 06:15:00,a001
06:30:00,2016-11-09,59,7,06:30:00,26,2,45,2016-11-09 06:30:00,a001
06:45:00,2016-11-09,62,0,06:45:00,27,2,45,2016-11-09 06:45:00,a001
07:00:00,2016-11-09,58,0,07:00:00,28,2,45,2016-11-09 07:00:00,a001
07:15:00,2016-11-09,56,0,07:15:00,29,2,45,2016-11-09 07:15:00,a001
07:30:00,2016-11-09,59,0,07:30:00,30,2,45,2016-11-09 07:30:00,a001
07:45:00,2016-11-09,69,0,07:45:00,31,2,45,2016-11-09 07:45:00,a001
08:00:00,2016-11-09,64,0,08:00:00,32,2,45,2016-11-09 08:00:00,a001
08:15:00,2016-11-09,63,0,08:15:00,33,2,45,2016-11-09 08:15:00,a001
08:30:00,2016-11-09,61,0,08:30:00,34,2,45,2016-11-09 08:30:00,a001
08:45:00,2016-11-09,60,0,08:45:00,35,2,45,2016-11-09 08:45:00,a001
09:00:00,2016-11-09,64,27,09:00:00,36,2,45,2016-11-09 09:00:00,a001
09:15:00,2016-11-09,0,0,09:15:00,37,2,45,2016-11-09 09:15:00,a001
09:30:00,2016-11-09,0,0,09:30:00,38,2,45,2016-11-09 09:30:00,a001
09:45:00,2016-11-09,0,0,09:45:00,39,2,45,2016-11-09 09:45:00,a001
10:00:00,2016-11-09,0,0,10:00:00,40,2,45,2016-11-09 10:00:00,a001
10:15:00,2016-11-09,0,0,10:15:00,41,2,45,2016-11-09 10:15:00,a001
10:30:00,2016-11-09,0,0,10:30:00,42,2,45,2016-11-09 10:30:00,a001
10:45:00,2016-11-09,0,0,10:45:00,43,2,45,2016-11-09 10:45:00,a001
11:00:00,2016-11-09,0,0,11:00:00,44,2,45,2016-11-09 11:00:00,a001
11:15:00,2016-11-09,77,7,11:15:00,45,2,45,2016-11-09 11:15:00,a001
11:30:00,2016-11-09,91,814,11:30:00,46,2,45,2016-11-09 11:30:00,a001
11:45:00,2016-11-09,84,69,11:45:00,47,2,45,2016-11-09 11:45:00,a001
12:00:00,2016-11-09,86,14,12:00:00,48,2,45,2016-11-09 12:00:00,a001
12:15:00,2016-11-09,107,703,12:15:00,49,2,45,2016-11-09 12:15:00,a001
12:30:00,2016-11-09,82,56,12:30:00,50,2,45,2016-11-09 12:30:00,a001
12:45:00,2016-11-09,109,0,12:45:00,51,2,45,2016-11-09 12:45:00,a001
13:00:00,2016-11-09,89,0,13:00:00,52,2,45,2016-11-09 13:00:00,a001
13:15:00,2016-11-09,80,0,13:15:00,53,2,45,2016-11-09 13:15:00,a001
13:30:00,2016-11-09,70,0,13:30:00,54,2,45,2016-11-09 13:30:00,a001
13:45:00,2016-11-09,66,0,13:45:00,55,2,45,2016-11-09 13:45:00,a001
14:00:00,2016-11-09,80,46,14:00:00,56,2,45,2016-11-09 14:00:00,a001
14:15:00,2016-11-09,77,17,14:15:00,57,2,45,2016-11-09 14:15:00,a001
14:30:00,2016-11-09,72,12,14:30:00,58,2,45,2016-11-09 14:30:00,a001
14:45:00,2016-11-09,73,5,14:45:00,59,2,45,2016-11-09 14:45:00,a001
15:00:00,2016-11-09,70,0,15:00:00,60,2,45,2016-11-09 15:00:00,a001
15:15:00,2016-11-09,75,0,15:15:00,61,2,45,2016-11-09 15:15:00,a001
15:30:00,2016-11-09,68,0,15:30:00,62,2,45,2016-11-09 15:30:00,a001
15:45:00,2016-11-09,70,0,15:45:00,63,2,45,2016-11-09 15:45:00,a001
16:00:00,2016-11-09,68,0,16:00:00,64,2,45,2016-11-09 16:00:00,a001
16:15:00,2016-11-09,62,0,16:15:00,65,2,45,2016-11-09 16:15:00,a001
16:30:00,2016-11-09,64,0,16:30:00,66,2,45,2016-11-09 16:30:00,a001
16:45:00,2016-11-09,70,20,16:45:00,67,2,45,2016-11-09 16:45:00,a001
17:00:00,2016-11-09,77,66,17:00:00,68,2,45,2016-11-09 17:00:00,a001
17:15:00,2016-11-09,71,0,17:15:00,69,2,45,2016-11-09 17:15:00,a001
17:30:00,2016-11-09,72,0,17:30:00,70,2,45,2016-11-09 17:30:00,a001
17:45:00,2016-11-09,74,9,17:45:00,71,2,45,2016-11-09 17:45:00,a001
18:00:00,2016-11-09,74,14,18:00:00,72,2,45,2016-11-09 18:00:00,a001
18:15:00,2016-11-09,70,5,18:15:00,73,2,45,2016-11-09 18:15:00,a001
18:30:00,2016-11-09,73,0,18:30:00,74,2,45,2016-11-09 18:30:00,a001
18:45:00,2016-11-09,99,505,18:45:00,75,2,45,2016-11-09 18:45:00,a001
19:00:00,2016-11-09,82,157,19:00:00,76,2,45,2016-11-09 19:00:00,a001
19:15:00,2016-11-09,72,0,19:15:00,77,2,45,2016-11-09 19:15:00,a001
19:30:00,2016-11-09,75,0,19:30:00,78,2,45,2016-11-09 19:30:00,a001
19:45:00,2016-11-09,67,0,19:45:00,79,2,45,2016-11-09 19:45:00,a001
20:00:00,2016-11-09,70,0,20:00:00,80,2,45,2016-11-09 20:00:00,a001
20:15:00,2016-11-09,65,0,20:15:00,81,2,45,2016-11-09 20:15:00,a001
20:30:00,2016-11-09,68,37,20:30:00,82,2,45,2016-11-09 20:30:00,a001
20:45:00,2016-11-09,72,19,20:45:00,83,2,45,2016-11-09 20:45:00,a001
21:00:00,2016-11-09,77,0,21:00:00,84,2,45,2016-11-09 21:00:00,a001
21:15:00,2016-11-09,74,0,21:15:00,85,2,45,2016-11-09 21:15:00,a001
21:30:00,2016-11-09,75,0,21:30:00,86,2,45,2016-11-09 21:30:00,a001
21:45:00,2016-11-09,78,0,21:45:00,87,2,45,2016-11-09 21:45:00,a001
22:00:00,2016-11-09,80,0,22:00:00,88,2,45,2016-11-09 22:00:00,a001
22:15:00,2016-11-09,75,0,22:15:00,89,2,45,2016-11-09 22:15:00,a001
22:30:00,2016-11-09,71,18,22:30:00,90,2,45,2016-11-09 22:30:00,a001
22:45:00,2016-11-09,77,44,22:45:00,91,2,45,2016-11-09 22:45:00,a001
23:00:00,2016-11-09,79,6,23:00:00,92,2,45,2016-11-09 23:00:00,a001
23:15:00,2016-11-09,72,0,23:15:00,93,2,45,2016-11-09 23:15:00,a001
23:30:00,2016-11-09,68,8,23:30:00,94,2,45,2016-11-09 23:30:00,a001
23:45:00,2016-11-09,69,0,23:45:00,95,2,45,2016-11-09 23:45:00,a001
00:00:00,2016-11-10,80,186,00:00:00,0,3,45,2016-11-10 00:00:00,a001
00:15:00,2016-11-10,74,257,00:15:00,1,3,45,2016-11-10 00:15:00,a001
00:30:00,2016-11-10,69,0,00:30:00,2,3,45,2016-11-10 00:30:00,a001
00:45:00,2016-11-10,66,10,00:45:00,3,3,45,2016-11-10 00:45:00,a001
01:00:00,2016-11-10,60,19,01:00:00,4,3,45,2016-11-10 01:00:00,a001
01:15:00,2016-11-10,54,0,01:15:00,5,3,45,2016-11-10 01:15:00,a001
01:30:00,2016-11-10,58,9,01:30:00,6,3,45,2016-11-10 01:30:00,a001
01:45:00,2016-11-10,69,52,01:45:00,7,3,45,2016-11-10 01:45:00,a001
02:00:00,2016-11-10,50,0,02:00:00,8,3,45,2016-11-10 02:00:00,a001
02:15:00,2016-11-10,50,0,02:15:00,9,3,45,2016-11-10 02:15:00,a001
02:30:00,2016-11-10,52,0,02:30:00,10,3,45,2016-11-10 02:30:00,a001
02:45:00,2016-11-10,58,0,02:45:00,11,3,45,2016-11-10 02:45:00,a001
03:00:00,2016-11-10,53,0,03:00:00,12,3,45,2016-11-10 03:00:00,a001
03:15:00,2016-11-10,50,0,03:15:00,13,3,45,2016-11-10 03:15:00,a001
03:30:00,2016-11-10,50,0,03:30:00,14,3,45,2016-11-10 03:30:00,a001
03:45:00,2016-11-10,60,0,03:45:00,15,3,45,2016-11-10 03:45:00,a001
04:00:00,2016-11-10,55,0,04:00:00,16,3,45,2016-11-10 04:00:00,a001
04:15:00,2016-11-10,54,12,04:15:00,17,3,45,2016-11-10 04:15:00,a001
04:30:00,2016-11-10,49,0,04:30:00,18,3,45,2016-11-10 04:30:00,a001
04:45:00,2016-11-10,50,0,04:45:00,19,3,45,2016-11-10 04:45:00,a001
